order_id,customer_id,product_name,category,quantity,unit_price,order_date,payment_method,country
41,C019,Wireless Mouse,Electronics,4,27.29,2025-06-23,Credit Card,Greece
42,C034,Monitor Stand,Office,1,53.26,2025-03-18,PayPal,France
43,C181,Resistance Bands,Sports,5,25.54,2025-07-01,Credit Card,Netherlands
44,C170,Yoga Mat,Sports,2,37.94,2025-03-23,Credit Card,Greece
45,C073,Protein Powder,Sports,2,37.06,2025-04-12,Debit Card,Netherlands
46,C126,Phone Case,Electronics,1,17.34,2025-02-07,Bank Transfer,France
47,C034,Phone Case,Electronics,2,17.07,2025-05-08,Bank Transfer,Italy
48,C227,Desk Lamp,Home,5,46.42,2025-01-24,PayPal,Italy
49,C011,Resistance Bands,Sports,3,24.46,2025-01-25,PayPal,Germany
50,C091,Laptop Sleeve,Electronics,4,33.91,2025-06-22,Debit Card,Germany
51,C208,Water Bottle,Sports,4,19.4,2025-01-21,Debit Card,Netherlands
52,C106,Notebook Set,Office,3,12.48,2025-02-24,Credit Card,Spain
53,C057,Bluetooth Speaker,Electronics,4,58.77,2025-04-14,PayPal,Germany
54,C103,Mechanical Keyboard,Electronics,3,122.13,2025-02-01,PayPal,France
55,C216,Laptop Sleeve,Electronics,3,28.42,2025-01-22,Credit Card,France
56,C068,Running Shoes,Sports,1,92.73,2025-06-16,Bank Transfer,France
57,C156,Scented Candle,Home,1,9.36,2025-04-23,Debit Card,France
58,C134,Laptop Sleeve,Electronics,2,34.58,2025-04-18,Bank Transfer,Greece
59,C160,Mechanical Keyboard,Electronics,1,120.27,2025-04-01,PayPal,Netherlands
60,C076,Laptop Sleeve,Electronics,2,34.51,2025-03-05,Bank Transfer,Netherlands
61,C232,Water Bottle,Sports,5,,2025-06-09,PayPal,Spain
62,C074,Bluetooth Speaker,Electronics,4,60.52,2025-06-12,PayPal,Spain
63,C131,Tennis Racket,Sports,2,66.12,2025-07-02,Credit Card,France
64,C086,USB-C Cable,Electronics,2,15.95,2025-07-06,PayPal,Germany
65,C012,Notebook Set,Office,4,8.82,2025-06-20,Credit Card,Spain
66,C050,Coffee Mug,Home,4,,2025-04-27,Debit Card,Germany
67,C193,Yoga Mat,Sports,4,36.14,2025-03-12,Debit Card,Netherlands
68,C064,Yoga Mat,Sports,4,36.25,2025-02-18,Bank Transfer,Netherlands
69,C082,Fitness Tracker,Electronics,5,80.47,2025-05-24,Bank Transfer,Italy
70,C221,Tennis Racket,Sports,4,64.22,2025-03-22,Debit Card,Netherlands
71,C125,Notebook Set,Office,3,7.79,2025-05-07,Credit Card,Netherlands
72,C082,Laptop Sleeve,Electronics,1,30.05,2025-02-19,Debit Card,Germany
73,C055,USB-C Cable,Electronics,4,13.23,2025-04-29,PayPal,Italy
74,C214,HDMI Cable,Electronics,4,,2025-06-13,Credit Card,Italy
75,C091,Resistance Bands,Sports,4,20.76,2025-05-02,Debit Card,Spain
76,C008,Coffee Mug,Home,3,8.31,2025-07-05,Bank Transfer,Netherlands
77,C033,Protein Powder,Sports,5,36.51,2025-01-21,Bank Transfer,IT
78,C165,HDMI Cable,Electronics,2,14.07,2025-05-13,Debit Card,Greece
79,C117,Mechanical Keyboard,Electronics,3,119.02,2025-04-22,PayPal,Spain
80,C005,Laptop Sleeve,Electronics,1,27.54,2025-04-14,Debit Card,Netherlands
81,C011,Wireless Mouse,Electronics,2,24.21,2025-03-07,Credit Card,Italy
82,C172,Yoga Mat,Sports,5,34.05,2025-03-11,Bank Transfer,Netherlands
83,C156,Protein Powder,Sports,1,36.62,2025-02-25,PayPal,Greece
84,C148,Coffee Mug,Home,4,12.51,2025-03-06,Credit Card,Italy
85,C027,Resistance Bands,Sports,5,23.26,2025-02-14,Credit Card,France
86,C018,Scented Candle,Home,3,9.84,2025-01-18,Bank Transfer,Spain
87,C163,Fitness Tracker,Electronics,2,81.07,2025-05-06,Debit Card,Netherlands
88,C158,Laptop Sleeve,Electronics,4,31.73,2025-05-14,Bank Transfer,Netherlands
89,C063,USB-C Cable,Electronics,3,14.06,2025-05-10,Debit Card,Spain
90,C087,Wireless Mouse,Electronics,4,24.69,2025-04-08,Debit Card,Spain
91,C088,Phone Case,Electronics,5,17.07,2025-07-13,PayPal,Italy
92,C022,Notebook Set,Office,4,9.31,2025-05-20,Debit Card,Netherlands
93,C115,Wireless Mouse,Electronics,1,28.52,2025-03-31,Debit Card,Spain
94,C149,Monitor Stand,Office,4,59.97,2025-06-05,PayPal,Spain
95,C091,Fitness Tracker,Electronics,3,77.87,2025-04-03,PayPal,Germany
96,C031,Laptop Sleeve,Electronics,2,30.86,2025-03-05,Debit Card,Netherlands
97,C195,Scented Candle,Home,5,11.37,2025-03-28,Credit Card,Germany
98,C078,Wireless Mouse,Electronics,5,30.78,2025-02-16,PayPal,Greece
99,C179,Desk Lamp,Home,4,44.27,2025-02-10,Credit Card,Italy
100,C088,Water Bottle,Sports,1,18.58,2025-03-20,Bank Transfer,Greece
101,C019,Desk Organizer,Office,1,23.09,2025-02-22,Debit Card,Italy
102,C064,Yoga Mat,Sports,5,35.04,2025-05-01,Debit Card,Italy
103,C077,Desk Organizer,Office,4,23.18,2025-04-03,Credit Card,Italy
104,C196,Bluetooth Speaker,Electronics,2,58.91,2025-03-23,Credit Card,Germany
105,C041,Wireless Mouse,Electronics,4,23.25,2025-05-10,Bank Transfer,France
106,C073,Fitness Tracker,Electronics,1,83.2,2025-07-09,Debit Card,France
107,C170,Bluetooth Speaker,Electronics,4,58.18,2025-02-13,Debit Card,Netherlands
108,C037,USB-C Cable,Electronics,1,15.49,2025-02-26,PayPal,Italy
109,C074,Fitness Tracker,Electronics,1,80.12,2025-05-14,PayPal,Netherlands
110,C139,Tennis Racket,Sports,4,67.88,2025-02-04,Credit Card,Spain
111,C007,USB-C Cable,Electronics,2,16.07,2025-07-06,Credit Card,Netherlands
112,C196,Water Bottle,Sports,4,13.45,2025-05-27,Bank Transfer,France
113,C163,Tennis Racket,Sports,1,64.67,2025-05-15,PayPal,Spain
114,C220,Water Bottle,Sports,3,17.3,2025-04-30,Bank Transfer,France
115,C195,Laptop Sleeve,Electronics,1,29.01,2025-05-11,Credit Card,France
116,C198,Coffee Mug,Home,5,7.42,2025-01-15,Bank Transfer,Spain
117,C160,Tennis Racket,Sports,4,66.39,2025-01-28,Debit Card,France
118,C113,Tennis Racket,Sports,1,63.27,2025-01-22,Debit Card,Netherlands
119,C142,HDMI Cable,Electronics,1,19.57,2025-03-13,Credit Card,Spain
120,C040,Tennis Racket,Sports,3,68.68,2025-05-25,PayPal,Spain
121,C063,Fitness Tracker,Electronics,5,84.27,2025-02-21,Bank Transfer,Germany
122,C226,Desk Lamp,Home,1,49.47,2025-03-26,Bank Transfer,France
123,C211,Wireless Mouse,Electronics,3,26.56,2025-04-01,Bank Transfer,Germany
124,C086,Laptop Sleeve,Electronics,5,33.95,2025-04-21,Bank Transfer,France
125,C062,Desk Organizer,Office,4,18.05,2025-03-15,Bank Transfer,Greece
126,C234,Coffee Mug,Home,4,14.71,2025-07-03,Debit Card,Spain
127,C248,Desk Organizer,Office,3,19.71,2025-02-09,Bank Transfer,Greece
128,C185,Desk Lamp,Home,4,45.76,2025-07-01,Debit Card,Greece
129,C087,Protein Powder,Sports,4,38.81,2025-06-30,Credit Card,France
130,C098,Mechanical Keyboard,Electronics,4,117.55,2025-06-02,Credit Card,Italy
131,C236,Resistance Bands,Sports,2,25.08,2025-02-07,Bank Transfer,Greece
132,C026,Fitness Tracker,Electronics,2,77.27,2025-07-11,PayPal,Greece
133,C076,Monitor Stand,Office,3,56.25,2025-05-05,Debit Card,Germany
134,C203,Water Bottle,Sports,2,18.97,2025-02-28,Credit Card,Italy
135,C062,Tennis Racket,Sports,5,67.1,2025-02-20,Debit Card,Spain
136,C171,Wireless Mouse,Electronics,4,26.52,2025-03-29,Debit Card,Greece
137,C151,Resistance Bands,Sports,4,25.76,2025-07-10,PayPal,Spain
138,C099,Tennis Racket,Sports,1,64.87,2025-03-16,Bank Transfer,Italy
139,C180,Resistance Bands,Sports,1,19.06,2025-07-02,Bank Transfer,France
140,C200,Running Shoes,Sports,5,91.76,2025-05-22,PayPal,Germany
141,C163,Bluetooth Speaker,Electronics,5,57.77,2025-03-20,Debit Card,Netherlands
142,C011,Resistance Bands,Sports,4,20.05,2025-01-23,PayPal,Netherlands
143,C084,HDMI Cable,Electronics,2,19.0,2025-03-07,Debit Card,Italy
144,C129,Phone Case,Electronics,2,22.96,2025-03-21,Bank Transfer,France
145,C030,Fitness Tracker,Electronics,1,82.69,2025-02-20,Debit Card,Netherlands
146,C248,Laptop Sleeve,Electronics,3,29.11,2025-02-07,Bank Transfer,Greece
147,C095,Phone Case,Electronics,5,22.39,2025-04-22,PayPal,Greece
148,C159,Laptop Sleeve,Electronics,3,27.5,2025-06-20,Debit Card,Netherlands
149,C233,Resistance Bands,Sports,4,26.57,2025-02-13,Debit Card,Greece
150,C127,Yoga Mat,Sports,1,35.63,2025-03-16,Debit Card,Spain
151,C191,Laptop Sleeve,Electronics,4,32.23,2025-06-14,Debit Card,Spain
152,C158,HDMI Cable,Electronics,3,15.54,2025-01-23,PayPal,Germany
153,C219,Monitor Stand,Office,1,59.21,2025-07-09,PayPal,Italy
154,C016,Coffee Mug,Home,3,7.72,2025-03-04,Credit Card,Spain
155,C164,Protein Powder,Sports,1,39.9,2025-01-27,PayPal,Germany
156,C053,USB-C Cable,Electronics,5,12.13,2025-03-09,Debit Card,Germany
157,C231,Protein Powder,Sports,1,36.31,2025-03-26,Debit Card,Germany
158,C029,Wireless Mouse,Electronics,2,27.7,2025-01-18,,Germany
159,C068,Running Shoes,Sports,2,87.41,2025-05-02,Credit Card,Netherlands
160,C093,Scented Candle,Home,5,10.77,2025-02-11,Bank Transfer,Italy
161,C187,Scented Candle,Home,3,16.99,2025-05-12,Credit Card,Greece
162,C110,Yoga Mat,Sports,4,34.58,2025-05-08,Credit Card,Greece
163,C033,Phone Case,Electronics,5,24.95,2025-06-26,PayPal,Spain
164,C117,Scented Candle,Home,5,9.92,2025-05-05,Credit Card,Netherlands
165,C225,Laptop Sleeve,Electronics,2,30.3,2025-05-05,Bank Transfer,Germany
166,C103,HDMI Cable,Electronics,1,17.31,2025-04-05,Bank Transfer,France
167,C040,Tennis Racket,Sports,1,65.46,2025-02-07,Credit Card,Greece
168,C096,Desk Lamp,Home,5,42.98,2025-01-30,PayPal,Netherlands
169,C171,HDMI Cable,Electronics,1,12.82,2025-03-29,PayPal,France
170,C040,Tennis Racket,Sports,2,64.94,2025-02-11,PayPal,Italy
171,C147,Notebook Set,Office,4,12.93,2025-06-07,Credit Card,Italy
172,C069,Wireless Mouse,Electronics,2,25.8,2025-03-25,PayPal,France
173,C037,Desk Organizer,Office,,20.57,2025-02-01,Debit Card,Netherlands
174,C192,Scented Candle,Home,2,11.73,2025-04-21,Bank Transfer,Spain
175,C185,Mechanical Keyboard,Electronics,5,118.24,2025-06-16,Credit Card,Greece
176,C013,USB-C Cable,Electronics,3,14.36,2025-05-08,Bank Transfer,Spain
177,C056,Scented Candle,Home,1,11.27,2025-04-13,Bank Transfer,Greece
178,C125,Scented Candle,Home,3,16.88,2025-01-26,Debit Card,Spain
179,C053,Resistance Bands,Sports,2,,2025-02-19,PayPal,France
180,C192,HDMI Cable,Electronics,2,17.62,2025-02-17,Bank Transfer,Italy
181,C214,Monitor Stand,Office,1,52.15,2025-04-26,Credit Card,Spain
182,C221,Mechanical Keyboard,Electronics,5,122.12,2025-05-04,Bank Transfer,Netherlands
183,C104,Wireless Mouse,Electronics,3,30.35,2025-02-27,Bank Transfer,Netherlands
184,C217,Yoga Mat,Sports,2,32.63,2025-05-06,Bank Transfer,Italy
185,C191,Mechanical Keyboard,Electronics,2,121.08,2025-04-10,Debit Card,Greece
186,C131,Bluetooth Speaker,Electronics,3,57.81,2025-04-14,Debit Card,Germany
187,C045,Protein Powder,Sports,2,39.6,2025-07-01,Credit Card,Germany
188,C119,Desk Organizer,Office,5,18.03,2025-05-09,PayPal,Netherlands
189,C121,Fitness Tracker,Electronics,3,80.96,2025-03-26,Credit Card,France
190,C116,Running Shoes,Sports,1,92.06,2025-04-19,PayPal,Greece
191,C024,Protein Powder,Sports,5,36.63,2025-05-24,Bank Transfer,Spain
192,C190,Running Shoes,Sports,4,91.74,2025-06-10,Debit Card,France
193,C246,Running Shoes,Sports,4,87.57,2025-02-10,PayPal,Netherlands
194,C011,Notebook Set,Office,4,8.48,2025-05-07,Debit Card,France
195,C105,Mechanical Keyboard,Electronics,5,119.64,2025-01-28,PayPal,Greece
196,C099,Resistance Bands,Sports,3,19.65,2025-07-02,Debit Card,France
197,C235,Monitor Stand,Office,3,56.76,2025-07-01,Bank Transfer,Germany
198,C080,Laptop Sleeve,Electronics,4,32.35,2025-06-28,PayPal,Germany
199,C190,Scented Candle,Home,1,11.89,2025-06-29,Bank Transfer,Italy
200,C047,Bluetooth Speaker,Electronics,3,64.99,2025-05-19,Debit Card,Germany
201,C076,Yoga Mat,Sports,5,34.69,2025-06-02,Credit Card,Netherlands
202,C034,Protein Powder,Sports,4,38.64,2025-02-23,Debit Card,Germany
203,C208,Water Bottle,Sports,4,17.41,2025-01-26,Bank Transfer,France
204,C114,Protein Powder,Sports,3,33.9,2025-05-09,Debit Card,Italy
205,C201,Tennis Racket,Sports,2,68.16,2025-04-19,Bank Transfer,Spain
206,C129,Scented Candle,Home,4,10.11,2025-02-25,Debit Card,Italy
207,C165,Tennis Racket,Sports,3,68.77,2025-06-05,Credit Card,Netherlands
208,C073,USB-C Cable,Electronics,2,10.68,2025-03-25,Bank Transfer,Italy
209,C243,Notebook Set,Office,4,5.93,2025-04-14,Credit Card,Spain
210,C061,Coffee Mug,Home,1,9.54,2025-04-20,Debit Card,Greece
211,C183,Mechanical Keyboard,Electronics,2,124.34,2025-02-19,Credit Card,France
212,C213,Desk Lamp,Home,4,42.15,2025-05-09,Credit Card,Greece
213,C039,Laptop Sleeve,Electronics,5,33.2,2025-05-30,Bank Transfer,Greece
214,C032,Running Shoes,Sports,2,87.79,2025-05-02,Bank Transfer,Greece
215,C153,Laptop Sleeve,Electronics,1,28.14,2025-06-25,Debit Card,Netherlands
216,C158,Monitor Stand,Office,2,57.31,2025-06-10,Bank Transfer,Germany
217,c250,Monitor Stand,Office,1,58.99,2025-05-29,Credit Card,Spain
218,C100,Monitor Stand,Office,3,54.76,2025-01-19,PayPal,Greece
219,C161,Yoga Mat,Sports,5,34.82,2025-04-10,Debit Card,Greece
220,C165,Water Bottle,Sports,4,13.46,2025-07-12,Bank Transfer,Netherlands
221,C184,Fitness Tracker,Electronics,1,83.23,2025-03-31,Debit Card,Greece
222,C081,Resistance Bands,Sports,5,19.29,2025-04-26,Bank Transfer,France
223,C074,Monitor Stand,Office,1,53.0,2025-07-01,PayPal,France
224,C228,Coffee Mug,Home,4,10.96,2025-04-23,PayPal,Germany
225,C237,Scented Candle,Home,3,12.44,2025-02-05,Bank Transfer,Greece
226,C047,Laptop Sleeve,Electronics,3,29.61,2025-04-07,Credit Card,Greece
227,C115,Protein Powder,Sports,4,35.57,2025-02-26,Bank Transfer,France
228,C234,Monitor Stand,Office,5,59.84,2025-05-06,PayPal,Netherlands
229,C020,Coffee Mug,Home,3,8.13,2025-05-26,Debit Card,Greece
230,C201,Fitness Tracker,Electronics,1,83.13,2025-02-16,Credit Card,Germany
231,C099,Desk Organizer,Office,1,19.1,2025-06-18,Debit Card,Netherlands
232,C114,USB-C Cable,Electronics,5,12.02,2025-02-19,PayPal,Spain
233,C246,Yoga Mat,Sports,1,35.1,2025-03-03,Bank Transfer,Italy
234,C068,Phone Case,Electronics,4,24.32,2025-03-10,PayPal,Netherlands
235,C032,Desk Lamp,Home,1,45.56,2025-05-10,Debit Card,Netherlands
236,C175,Mechanical Keyboard,Electronics,3,123.81,2025-01-31,PayPal,France
237,C238,Water Bottle,Sports,3,19.88,2025-05-25,Debit Card,Greece
238,C061,Tennis Racket,Sports,1,68.43,2025-04-17,PayPal,Spain
239,C157,USB-C Cable,Electronics,1,15.25,2025-04-04,Bank Transfer,Netherlands
240,C197,HDMI Cable,Electronics,5,17.13,2025-02-02,Debit Card,France
241,C175,Scented Candle,Home,3,12.46,2025-02-16,Debit Card,Germany
242,C015,Yoga Mat,Sports,5,33.3,2025-02-23,PayPal,Germany
243,C058,Monitor Stand,Office,5,53.57,2025-03-28,Credit Card,France
244,C071,Desk Lamp,Home,3,47.13,2025-06-21,Credit Card,Italy
245,C149,Desk Lamp,Home,2,42.33,2025-07-02,PayPal,Italy
246,C021,Running Shoes,Sports,5,90.23,2025-03-23,Debit Card,Italy
247,C128,Laptop Sleeve,Electronics,3,28.95,2025-06-28,PayPal,Spain
248,C104,Resistance Bands,Sports,4,22.52,2025-02-02,Credit Card,Germany
249,C053,Mechanical Keyboard,Electronics,5,119.55,2025-02-20,PayPal,Netherlands
250,C089,Coffee Mug,Home,2,8.92,2025-04-19,Credit Card,France
251,C116,Notebook Set,Office,2,13.06,2025-02-08,Credit Card,France
252,C108,Notebook Set,Office,2,11.6,2025-04-08,PayPal,Germany
253,C132,Fitness Tracker,Electronics,4,77.62,2025-04-03,Bank Transfer,Greece
254,C118,Notebook Set,Office,2,5.9,2025-06-13,PayPal,Greece
255,C226,Tennis Racket,Sports,3,65.45,2025-06-01,Credit Card,Greece
256,C187,Monitor Stand,Office,4,52.41,2025-04-18,Credit Card,Spain
257,C093,Laptop Sleeve,Electronics,3,30.59,2025-02-02,Bank Transfer,Italy
258,C212,Protein Powder,Sports,5,35.14,2025-02-14,Debit Card,Greece
259,C087,Laptop Sleeve,Electronics,3,31.06,2025-02-20,Debit Card,Italy
260,C012,Running Shoes,Sports,2,90.56,2025-04-10,Bank Transfer,Italy
261,C132,Desk Lamp,Home,3,45.14,2025-06-20,PayPal,Germany
262,C216,Resistance Bands,Sports,5,23.5,2025-04-11,Bank Transfer,Netherlands
263,C005,Monitor Stand,Office,3,56.67,2025-07-06,Credit Card,Spain
264,C186,Wireless Mouse,Electronics,5,29.25,2025-05-16,PayPal,Netherlands
265,C148,Notebook Set,Office,1,9.69,2025-06-13,Bank Transfer,Germany
266,C199,Coffee Mug,Home,2,11.57,2025-07-08,Debit Card,Greece
267,C049,Wireless Mouse,Electronics,4,26.29,2025-04-05,Bank Transfer,Germany
268,C129,Protein Powder,Sports,4,33.65,2025-01-30,Debit Card,Italy
269,C170,Tennis Racket,Sports,5,65.68,2025-04-21,PayPal,Germany
270,C140,Monitor Stand,Office,3,59.66,2025-06-20,Bank Transfer,Germany
271,C077,Notebook Set,Office,3,11.14,2025-03-29,Debit Card,Netherlands
272,C090,Laptop Sleeve,Electronics,3,32.4,2025-03-29,Credit Card,Italy
273,C102,Monitor Stand,Office,2,59.64,2025-03-30,Credit Card,France
274,C237,Fitness Tracker,Electronics,3,83.52,2025-05-17,Debit Card,Germany
275,C144,Phone Case,Electronics,2,17.4,2025-02-11,Debit Card,Germany
276,C058,Notebook Set,Office,1,11.24,2025-02-09,Bank Transfer,France
277,C198,Desk Lamp,Home,1,47.22,2025-06-04,Debit Card,Spain
278,C122,Tennis Racket,Sports,2,67.17,2025-03-29,PayPal,France
279,C023,Desk Organizer,Office,2,18.84,2025-05-31,Credit Card,Germany
280,C240,Running Shoes,Sports,4,94.6,2025-05-21,Debit Card,Netherlands
281,C225,Running Shoes,Sports,1,89.18,2025-04-01,Credit Card,France
282,C140,Scented Candle,Home,4,10.54,2025-02-18,Bank Transfer,France
283,C042,Fitness Tracker,Electronics,3,79.6,2025-03-03,Credit Card,Netherlands
284,C173,Bluetooth Speaker,Electronics,2,61.11,2025-06-20,Bank Transfer,Spain
285,C172,Yoga Mat,Sports,2,,2025-02-19,Bank Transfer,France
286,C099,Notebook Set,Office,4,10.16,2025-03-24,PayPal,France
287,C067,Monitor Stand,Office,2,54.45,2025-01-30,Credit Card,Spain
288,C129,Resistance Bands,Sports,1,23.92,2025-06-27,PayPal,France
289,C035,Tennis Racket,Sports,2,67.62,2025-05-11,PayPal,Spain
290,C194,Laptop Sleeve,Electronics,2,30.56,2025-03-19,Credit Card,Italy
291,C020,Desk Organizer,Office,1,19.79,2025-01-30,Debit Card,Italy
292,C219,Scented Candle,Home,4,13.67,2025-02-13,Debit Card,Netherlands
293,C131,Fitness Tracker,Electronics,1,80.22,2025-05-11,Debit Card,Italy
294,C144,Fitness Tracker,Electronics,3,83.43,2025-01-20,Bank Transfer,France
295,C149,USB-C Cable,Electronics,1,10.01,2025-05-03,PayPal,Netherlands
296,C240,USB-C Cable,Electronics,4,10.94,2025-01-23,PayPal,Spain
297,C165,HDMI Cable,Electronics,3,15.0,2025-04-22,Bank Transfer,Spain
298,C170,Laptop Sleeve,Electronics,2,28.42,2025-07-01,PayPal,Greece
299,C136,Desk Lamp,Home,2,45.7,2025-01-15,Credit Card,France
300,C109,Laptop Sleeve,Electronics,4,29.76,2025-03-14,Debit Card,Spain
301,C240,Yoga Mat,Sports,1,38.13,2025-07-03,Bank Transfer,Italy
302,C005,Notebook Set,Office,2,5.77,2025-02-01,Credit Card,Italy
303,C181,Running Shoes,Sports,2,88.77,2025-01-26,Bank Transfer,Spain
304,C222,Running Shoes,Sports,2,93.43,2025-05-23,PayPal,Germany
305,C082,Desk Organizer,Office,5,17.91,2025-07-06,PayPal,Germany
306,C170,Scented Candle,Home,2,9.49,2025-04-30,PayPal,France
307,C226,Water Bottle,Sports,4,19.78,2025-06-06,Bank Transfer,Greece
308,C172,Coffee Mug,Home,5,8.18,2025-04-06,Bank Transfer,Spain
309,C194,Laptop Sleeve,Electronics,4,33.85,2025-03-17,Debit Card,France
310,C119,Running Shoes,Sports,5,91.14,2025-04-30,Bank Transfer,Italy
311,C066,Bluetooth Speaker,Electronics,3,63.77,2025-06-29,Credit Card,Spain
312,C186,Bluetooth Speaker,Electronics,,61.83,2025-03-24,Bank Transfer,Netherlands
313,C019,Bluetooth Speaker,Electronics,5,58.66,2025-07-05,Debit Card,Spain
314,C078,Wireless Mouse,Electronics,2,30.99,2025-03-04,Credit Card,Netherlands
315,C063,Protein Powder,Sports,2,34.56,2025-04-26,Debit Card,Italy
316,C120,Laptop Sleeve,Electronics,3,31.09,2025-04-03,PayPal,France
317,C026,Tennis Racket,Sports,3,65.31,2025-03-08,PayPal,France
318,C057,Desk Lamp,Home,1,43.22,2025-03-22,Bank Transfer,France
319,C098,Desk Organizer,Office,2,21.61,2025-05-22,PayPal,France
320,C186,Tennis Racket,Sports,4,63.12,2025-02-27,PayPal,Germany
321,C048,Laptop Sleeve,Electronics,1,34.55,2025-05-29,Credit Card,Greece
322,C196,Wireless Mouse,Electronics,4,,2025-02-19,Debit Card,Greece
323,C130,Fitness Tracker,Electronics,3,,2025-01-30,Bank Transfer,Netherlands
324,C142,HDMI Cable,Electronics,1,19.81,2025-01-19,,Italy
325,C209,HDMI Cable,Electronics,2,13.18,2025-02-11,Credit Card,Italy
326,C135,Phone Case,Electronics,3,19.97,2025-03-24,Bank Transfer,Greece
327,C145,Notebook Set,Office,2,13.43,2025-04-01,Credit Card,Netherlands
328,C009,USB-C Cable,Electronics,4,13.31,2025-04-22,Bank Transfer,Italy
329,C180,Water Bottle,Sports,1,18.28,2025-05-22,Bank Transfer,Netherlands
330,C220,Yoga Mat,Sports,5,39.21,2025-01-25,Debit Card,Germany
331,C146,Tennis Racket,Sports,3,69.4,2025-01-26,Credit Card,Netherlands
332,C145,Running Shoes,Sports,2,91.6,2025-04-05,Credit Card,Germany
333,C183,Coffee Mug,Home,1,8.91,2025-04-01,Debit Card,Italy
334,C100,Laptop Sleeve,Electronics,3,32.78,2025-04-23,Debit Card,Netherlands
335,C250,Monitor Stand,Office,1,58.71,2025-02-09,Bank Transfer,Germany
336,C197,Protein Powder,Sports,5,37.06,2025-04-26,PayPal,Greece
337,C116,Tennis Racket,Sports,2,63.49,2025-04-16,Bank Transfer,Spain
338,C098,USB-C Cable,Electronics,5,10.09,2025-03-31,Debit Card,Netherlands
339,C098,Desk Lamp,Home,4,42.73,2025-04-06,PayPal,Greece
340,C114,Monitor Stand,Office,3,53.5,2025-02-10,Debit Card,Greece
341,C143,Scented Candle,Home,4,11.83,2025-02-10,Credit Card,Greece
342,C154,Mechanical Keyboard,Electronics,4,120.1,2025-01-18,PayPal,Spain
343,C231,Laptop Sleeve,Electronics,2,30.04,2025-06-10,Debit Card,Netherlands
